theta_arcmin,THIBOS_ONLY,THIBOS_PLUS_ARIAS,CIE_RAW
3.909584707401940307e+00,1.101650459910366044e+04,2.217152614755270770e+04,3.138302689018176898e+04
4.025006486678901041e+00,9.713987043319941222e+03,2.138598873467762314e+04,2.950856680865836825e+04
4.143835836869016021e+00,8.884445356278358304e+03,2.094258561454500887e+04,2.772169573832744209e+04
4.266173358912602964e+00,7.597552415468913750e+03,1.896169587925117958e+04,2.602051672203598719e+04
4.392122623768634604e+00,6.814003111989425634e+03,1.760057919321195004e+04,2.440300042105963803e+04
4.521790260097931835e+00,6.079680952667063139e+03,1.662583526751745012e+04,2.286699328620582673e+04
4.655286044534985734e+00,4.967567179934117121e+03,1.533623925780979334e+04,2.141022803682842277e+04
4.792722994624884159e+00,4.825336991289717844e+03,1.466228069155602680e+04,2.003033594718055610e+04
4.934217464503967143e+00,3.816527753920241594e+03,1.291357775132292772e+04,1.872486046636723404e+04
5.079889243405252053e+00,3.754718778356443636e+03,1.204503455448615387e+04,1.749127173218846292e+04
5.229861657072012449e+00,2.833878277345187598e+03,1.104903617532517274e+04,1.632698157870319483e+04
5.384261672165369106e+00,2.855968888442554999e+03,1.007717452781959219e+04,1.522935868071556251e+04
5.543220003754263381e+00,2.177705729721230909e+03,9.328938417350947930e+03,1.419574352398242991e+04
5.706871225978869866e+00,2.246138352531386772e+03,9.166164283764834181e+03,1.322346293629363754e+04
5.875353885981061453e+00,1.587148964790947957e+03,8.123883748798554734e+03,1.230984396038016530e+04
6.048810621198441595e+00,1.648620845659180986e+03,7.692060553792573955e+03,1.145222689375190203e+04
6.227388280121214592e+00,1.295265888193172714e+03,7.117557151284218889e+03,1.064797736215972691e+04
6.411238046614119668e+00,1.173176112648610570e+03,6.485864952901660217e+03,9.894497331727756318e+03
6.600515567908727732e+00,1.065040026613135524e+03,6.057504531775049145e+03,9.189234999426795184e+03
6.795381086374389312e+00,8.191575885779127475e+02,5.501193405372524467e+03,8.529693532163941200e+03
6.995999575179445706e+00,7.987825321134025671e+02,5.112489470972982417e+03,7.913438651215622485e+03
7.202540877957529730e+00,6.908672033227776410e+02,4.761234158795079566e+03,7.338105081047851854e+03
7.415179852597207244e+00,5.695657460559388028e+02,4.424062093279912915e+03,6.801401899880554083e+03
7.634096519276670989e+00,5.288020178888203873e+02,3.950777875959758603e+03,6.301116843887924915e+03
7.859476212868862000e+00,4.754934099861402501e+02,3.807648979882551885e+03,5.835119627977839627e+03
8.091509739845978544e+00,4.024483230838740155e+02,3.529756063713133244e+03,5.401364354000690582e+03
8.330393539816260073e+00,3.575889599061412127e+02,3.257072900349953215e+03,4.997891082366811133e+03
8.576329851829779471e+00,3.222450500374415583e+02,3.027325342184101828e+03,4.622826645778321108e+03
8.829526885594049190e+00,2.772485850753490126e+02,2.729603664860336721e+03,4.274384784475439119e+03
9.090198997744360909e+00,2.366661768943788786e+02,2.610304545165485706e+03,3.950865681415351446e+03
9.358566873318165946e+00,2.174409131939093243e+02,2.359010463481359238e+03,3.650654973474076087e+03
9.634857712587031386e+00,1.979106803540267947e+02,2.198462080368785337e+03,3.372222311392330539e+03
9.919305423404416899e+00,1.837963871448757516e+02,2.107974738672720378e+03,3.114119537043909986e+03
1.021215081923208956e+01,1.694394266450138105e+02,1.983690478823707963e+03,2.874978541926827347e+03
1.051364182301282924e+01,1.549203682965441828e+02,1.760468741795561527e+03,2.653508865765145401e+03
1.082403367706200825e+01,1.403045539180700132e+02,1.663088707267734662e+03,2.448495088932921590e+03
1.114358915915578407e+01,1.225135895390750136e+02,1.578023553055974844e+03,2.258794067209888908e+03
1.147257880499874183e+01,1.065653946742618245e+02,1.385771408681607454e+03,2.083332052262666366e+03
1.181128113725951678e+01,9.163504360359017653e+01,1.315318755084743998e+03,1.921101736300989160e+03
1.215998290136807292e+01,7.672266285994558643e+01,1.189229592888880234e+03,1.771159254650356843e+03
1.251897930827442451e+01,7.016848140517475940e+01,1.153784257402343883e+03,1.632621175555047103e+03
1.288857428437425590e+01,6.957755192992081561e+01,1.050501131107508854e+03,1.504661502408753904e+03
1.326908072881303902e+01,6.805564735443287816e+01,9.884167526694639037e+02,1.386508709819938076e+03
1.366082077838648701e+01,5.621751503294493091e+01,8.808052538997438887e+02,1.277442831461307378e+03
1.406412608026159283e+01,4.902050654282282949e+01,8.288502295652111798e+02,1.176792614525062618e+03
1.447933807274916340e+01,4.697861267696424648e+01,7.580897020468055416e+02,1.083932752798592901e+03
1.490680827436552214e+01,4.239245801585241935e+01,7.142206918155546873e+02,9.982812078757347081e+02
