# DIGITIZED_EXTERNAL_VALIDATION; Ginis et al. 2012 J Vis 12(3):20; y = Log(PSF) as printed (log10 of PSF in sr^-1, see README)
curve,theta_deg,log10_psf
GP,3.9152,0.1647
GP,3.9189,0.1620
GP,3.9226,0.1620
GP,3.9263,0.1620
GP,3.9300,0.1594
GP,3.9337,0.1594
GP,3.9374,0.1594
GP,3.9411,0.1594
GP,3.9447,0.1594
GP,3.9484,0.1594
GP,3.9521,0.1567
GP,3.9558,0.1567
GP,3.9595,0.1567
GP,3.9632,0.1567
GP,3.9669,0.1540
GP,3.9706,0.1540
GP,3.9743,0.1540
GP,3.9780,0.1540
GP,3.9817,0.1514
GP,3.9854,0.1487
GP,3.9891,0.1461
GP,3.9928,0.1461
GP,3.9965,0.1461
GP,4.0002,0.1461
GP,4.0039,0.1461
GP,4.0076,0.1434
GP,4.0113,0.1407
GP,4.0150,0.1407
GP,4.0187,0.1407
GP,4.0224,0.1407
GP,4.0261,0.1381
GP,4.0298,0.1381
GP,4.0335,0.1354
GP,4.0372,0.1354
GP,4.0409,0.1354
GP,4.0446,0.1327
GP,4.0483,0.1327
GP,4.0520,0.1327
GP,4.0557,0.1301
GP,4.0594,0.1301
GP,4.0631,0.1301
GP,4.0668,0.1301
GP,4.0705,0.1301
GP,4.0741,0.1301
GP,4.0778,0.1274
GP,4.0815,0.1274
GP,4.0852,0.1274
GP,4.0889,0.1274
GP,4.0926,0.1274
GP,4.0963,0.1274
GP,4.1000,0.1247
GP,4.1037,0.1221
GP,4.1074,0.1194
GP,4.1111,0.1194
GP,4.1148,0.1194
GP,4.1185,0.1194
GP,4.1222,0.1194
GP,4.1259,0.1167
GP,4.1296,0.1167
GP,4.1333,0.1141
GP,4.1370,0.1141
GP,4.1407,0.1141
GP,4.1444,0.1141
GP,4.1481,0.1114
GP,4.1518,0.1114
GP,4.1555,0.1114
GP,4.1592,0.1088
GP,4.1629,0.1034
GP,4.1666,0.1034
GP,4.1703,0.1034
